aid,annee,structure,categorie,sequence,poids
beaverbrook_press,1945,D,aspirant,D,0.4
beaverbrook_press,1966,D,aspirant,D,0.08
ben_brierley_s_journal,1869,A,etabli,A,0.12
ben_brierley_s_journal,1891,A,etabli,A,0.55
ben_brierley_s_journal,1924,A,etabli,A,0.08
birmingham_advertiser,1839,D,aspirant,D,0.12
birmingham_advertiser,1853,D,aspirant,D,0.4
birmingham_advertiser,1874,D,aspirant,D,0.08
blackpool_echo,1896,D,aspirant,D,0.12
blackpool_echo,1912,D,aspirant,D,0.4
blackpool_echo,1936,D,aspirant,D,0.08
bradford_observer,1860,D,aspirant,D,0.12
bradford_observer,1875,D,aspirant,D,0.6
bradford_observer,1898,D,aspirant,D,0.08
brighton_guardian,1878,D,aspirant,D,0.12
brighton_guardian,1901,D,aspirant,D,0.6
brighton_guardian,1936,D,aspirant,D,0.08
building_news,1862,D,aspirant,D,0.12
building_news,1878,D,aspirant,D,0.45
building_news,1903,D,aspirant,D,0.08
catton_factory_times,1892,D,aspirant,D,0.12
catton_factory_times,1910,D,aspirant,D,0.4
catton_factory_times,1936,D,aspirant,D,0.08
cheap_and_honest_press,1836,A,conservateur,D,0.12
cheap_and_honest_press,1850,A,conservateur,D,0.45
cheap_and_honest_press,1872,A,conservateur,D,0.08
cheshire_observer,1854,D,aspirant,D,0.12
cheshire_observer,1874,D,aspirant,D,0.55
cheshire_observer,1903,D,aspirant,D,0.08
communist_chronicle,1846,D,aspirant,D,0.12
communist_chronicle,1868,D,aspirant,D,0.55
communist_chronicle,1902,D,aspirant,D,0.08
cotton_factory_times,1885,D,aspirant,D,0.12
cotton_factory_times,1900,D,aspirant,D,0.45
cotton_factory_times,1923,D,aspirant,D,0.08
daily_chronicle,1906,D,aspirant,D,0.12
daily_chronicle,1926,D,aspirant,D,0.5
daily_chronicle,1956,D,aspirant,D,0.08
daily_citizen,1912,D,aspirant,D,0.12
daily_citizen,1927,D,aspirant,D,0.5
daily_citizen,1949,D,aspirant,D,0.08
daily_herald,1929,D,aspirant,D,0.12
daily_herald,1944,D,aspirant,D,0.55
daily_herald,1966,D,aspirant,D,0.08
glasgow_news,1873,D,aspirant,D,0.12
glasgow_news,1891,D,aspirant,D,0.5
glasgow_news,1918,D,aspirant,D,0.08
industrial_syndicalist,1910,D,aspirant,D,0.12
industrial_syndicalist,1932,D,aspirant,D,0.55
industrial_syndicalist,1964,D,aspirant,D,0.08
keighley_labour_journal,1893,D,aspirant,D,0.12
keighley_labour_journal,1908,D,aspirant,D,0.6
keighley_labour_journal,1930,D,aspirant,D,0.08
kilmarnock_chronicle,1831,D,aspirant,D,0.12
kilmarnock_chronicle,1847,D,aspirant,D,0.55
kilmarnock_chronicle,1871,D,aspirant,D,0.08
london_evening_standard,1919,D,aspirant,D,0.12
london_evening_standard,1938,D,aspirant,D,0.6
london_evening_standard,1966,D,aspirant,D,0.08
manchester_guardian,1917,D,aspirant,D,0.12
manchester_guardian,1937,D,aspirant,D,0.4
manchester_guardian,1966,D,aspirant,D,0.08
manchester_sunday_chronicle,1891,A,etabli,A,0.12
manchester_sunday_chronicle,1913,A,etabli,A,0.6
manchester_sunday_chronicle,1945,A,etabli,A,0.08
mechanics_magazine,1869,A,etabli,A,0.12
mechanics_magazine,1889,A,etabli,A,0.45
mechanics_magazine,1920,A,etabli,A,0.08
montrose_review,1920,A,etabli,A,0.12
montrose_review,1938,A,etabli,A,0.45
montrose_review,1966,A,etabli,A,0.08
municipal_journal,1918,A,etabli,A,0.12
municipal_journal,1937,A,etabli,A,0.5
municipal_journal,1966,A,etabli,A,0.08
new_britain_quarterly,1932,A,etabli,A,0.12
new_britain_quarterly,1946,A,etabli,A,0.5
new_britain_quarterly,1966,A,etabli,A,0.08
newcastle_weekly_chronicle,1864,D,aspirant,D,0.12
newcastle_weekly_chronicle,1879,D,aspirant,D,0.45
newcastle_weekly_chronicle,1901,D,aspirant,D,0.08
oldham_express,1904,D,aspirant,D,0.12
oldham_express,1924,D,aspirant,D,0.55
oldham_express,1955,D,aspirant,D,0.08
oldham_operative,1884,D,aspirant,D,0.12
oldham_operative,1902,D,aspirant,D,0.6
oldham_operative,1928,D,aspirant,D,0.08
railway_review,1897,D,aspirant,D,0.12
railway_review,1914,D,aspirant,D,0.4
railway_review,1940,D,aspirant,D,0.08
rand_daily_mail,1902,D,aspirant,D,0.12
rand_daily_mail,1924,D,aspirant,D,0.45
rand_daily_mail,1956,D,aspirant,D,0.08
sunday_worker,1921,A,etabli,A,0.12
sunday_worker,1937,A,etabli,A,0.5
sunday_worker,1961,A,etabli,A,0.08
teddy_ashton_s_journal,1896,A,etabli,A,0.12
teddy_ashton_s_journal,1914,A,etabli,A,0.4
teddy_ashton_s_journal,1941,A,etabli,A,0.08
workman_s_times,1891,D,aspirant,D,0.12
workman_s_times,1905,D,aspirant,D,0.55
workman_s_times,1926,D,aspirant,D,0.08
yorkshire_factory_times,1889,D,aspirant,D,0.12
yorkshire_factory_times,1903,D,aspirant,D,0.45
yorkshire_factory_times,1924,D,aspirant,D,0.08
